Iteration	LogLikelihood	MoveType
100	-4408.6061	Reject
101	-4402.7665	Swapped from Chain 1
101	-4402.7665	Reject
102	-4402.7665	Reject
103	-4401.4501	Swapped from Chain 1
103	-4401.4501	Reject
104	-4401.4501	Reject
105	-4401.7233	Swapped from Chain 1
105	-4401.7233	Reject
106	-4401.7233	Reject
107	-4401.4833	Swapped from Chain 1
107	-4401.4833	Reject
108	-4401.4833	Reject
109	-4401.7222	Swapped from Chain 1
109	-4401.7222	Reject
110	-4401.7222	Reject
111	-4401.7233	Swapped from Chain 1
111	-4401.7233	Reject
112	-4401.7233	Reject
113	-4402.7572	Swapped from Chain 1
113	-4402.7572	Reject
114	-4402.7572	Reject
115	-4403.4176	Swapped from Chain 1
115	-4403.4176	Reject
116	-4403.4176	Reject
117	-4402.7286	Swapped from Chain 1
117	-4402.7286	Reject
118	-4402.7286	Reject
119	-4401.5098	Swapped from Chain 1
119	-4401.5098	Reject
120	-4401.5098	Reject
121	-4401.7234	Swapped from Chain 1
121	-4401.7234	Reject
122	-4401.7234	Reject
123	-4401.7233	Swapped from Chain 1
123	-4401.7233	Reject
124	-4401.7233	Reject
125	-4402.7495	Swapped from Chain 1
125	-4402.7495	Reject
126	-4402.7495	Reject
127	-4402.7665	Swapped from Chain 1
127	-4402.7665	Reject
128	-4402.7665	Reject
129	-4403.8347	Swapped from Chain 1
129	-4403.8347	Reject
130	-4403.8347	Reject
131	-4401.6270	Swapped from Chain 1
131	-4401.6270	Reject
132	-4401.6270	Reject
133	-4401.4501	Swapped from Chain 1
133	-4401.4501	Reject
134	-4401.4501	Reject
135	-4401.4833	Swapped from Chain 1
135	-4401.4833	Reject
136	-4401.4833	Reject
137	-4401.7222	Swapped from Chain 1
137	-4401.7222	Reject
138	-4401.7222	Reject
139	-4401.7222	Swapped from Chain 1
139	-4401.7222	Reject
140	-4401.7222	Reject
141	-4402.7286	Swapped from Chain 1
141	-4402.7286	Reject
142	-4402.7286	Reject
143	-4401.7233	Swapped from Chain 1
143	-4401.7233	Reject
144	-4401.7233	Reject
145	-4403.4176	Swapped from Chain 1
145	-4403.4176	Reject
146	-4403.4176	Reject
147	-4401.5098	Swapped from Chain 1
147	-4401.5098	Reject
148	-4401.5098	Reject
149	-4401.7234	Swapped from Chain 1
149	-4401.7234	Reject
150	-4401.7234	Reject
151	-4401.5759	Swapped from Chain 1
151	-4401.5759	Reject
152	-4401.5759	Reject
153	-4402.7286	Swapped from Chain 1
153	-4402.7286	Reject
154	-4402.7286	Reject
155	-4401.7233	Swapped from Chain 1
155	-4401.7233	Reject
156	-4401.7233	Reject
157	-4402.7665	Swapped from Chain 1
157	-4402.7665	Reject
158	-4402.7665	Reject
159	-4401.6270	Swapped from Chain 1
159	-4401.6270	Reject
160	-4401.6270	Reject
161	-4401.4501	Swapped from Chain 1
161	-4401.4501	Reject
162	-4401.4501	Reject
163	-4401.5098	Swapped from Chain 1
163	-4401.5098	Reject
164	-4401.5098	Reject
165	-4402.7609	Swapped from Chain 1
165	-4402.7609	Reject
166	-4402.7609	Reject
167	-4401.4833	Swapped from Chain 1
167	-4401.4833	Reject
168	-4401.4833	Reject
169	-4401.6042	Swapped from Chain 1
169	-4401.6042	Reject
170	-4401.6042	Reject
171	-4401.7233	Swapped from Chain 1
171	-4401.7233	Reject
172	-4401.7233	Reject
173	-4401.7233	Swapped from Chain 1
173	-4401.7233	Reject
174	-4401.7233	Reject
175	-4401.7222	Swapped from Chain 1
175	-4401.7222	Reject
176	-4401.7222	Reject
177	-4401.4833	Swapped from Chain 1
177	-4401.4833	Reject
178	-4401.4833	Reject
179	-4403.4176	Swapped from Chain 1
179	-4403.4176	Reject
180	-4403.4176	Reject
181	-4401.5408	Swapped from Chain 1
181	-4401.5408	Reject
182	-4401.5408	Reject
183	-4402.7495	Swapped from Chain 1
183	-4402.7495	Reject
184	-4402.7495	Reject
185	-4401.7234	Swapped from Chain 1
185	-4401.7234	Reject
186	-4401.7234	Reject
187	-4401.5759	Swapped from Chain 1
187	-4401.5759	Reject
188	-4401.5759	Reject
189	-4402.7286	Swapped from Chain 1
189	-4402.7286	Reject
190	-4402.7286	Reject
191	-4401.4501	Swapped from Chain 1
191	-4401.4501	Reject
192	-4401.4501	Reject
193	-4402.7665	Swapped from Chain 1
193	-4402.7665	Reject
194	-4402.7665	Reject
195	-4401.5482	Swapped from Chain 1
195	-4401.5482	Reject
196	-4401.5482	Reject
197	-4401.6270	Swapped from Chain 1
197	-4401.6270	Reject
198	-4401.6270	Reject
199	-4401.5098	Swapped from Chain 1
199	-4401.5098	Reject
200	-4401.5098	Reject
201	-4401.5081	Swapped from Chain 1
201	-4401.5081	Reject
202	-4401.5081	Reject
203	-4402.7609	Swapped from Chain 1
203	-4402.7609	Reject
204	-4402.7609	Reject
205	-4402.5773	Swapped from Chain 1
205	-4402.5773	Reject
206	-4402.5773	Reject
207	-4401.7233	Swapped from Chain 1
207	-4401.7233	Reject
208	-4401.7233	Reject
209	-4402.5474	Swapped from Chain 1
209	-4402.5474	Reject
210	-4402.5474	Reject
211	-4401.7222	Swapped from Chain 1
211	-4401.7222	Reject
212	-4401.7222	Reject
213	-4401.4833	Swapped from Chain 1
213	-4401.4833	Reject
214	-4401.4833	Reject
215	-4401.4533	Swapped from Chain 1
215	-4401.4533	Reject
216	-4401.4533	Reject
217	-4402.5969	Swapped from Chain 1
217	-4402.5969	Reject
218	-4402.5969	Reject
219	-4402.7495	Swapped from Chain 1
219	-4402.7495	Reject
220	-4402.7495	Reject
221	-4401.5432	Swapped from Chain 1
221	-4401.5432	Reject
222	-4401.5432	Reject
223	-4401.5759	Swapped from Chain 1
223	-4401.5759	Reject
224	-4401.5759	Reject
225	-4402.7286	Swapped from Chain 1
225	-4402.7286	Reject
226	-4402.7286	Reject
227	-4401.4581	Swapped from Chain 1
227	-4401.4581	Reject
228	-4401.4581	Reject
229	-4401.4501	Swapped from Chain 1
229	-4401.4501	Reject
230	-4401.4501	Reject
231	-4401.4833	Swapped from Chain 1
231	-4401.4833	Reject
232	-4401.4833	Reject
233	-4401.6270	Swapped from Chain 1
233	-4401.6270	Reject
234	-4401.6270	Reject
235	-4401.5098	Swapped from Chain 1
235	-4401.5098	Reject
236	-4401.5098	Reject
237	-4401.5081	Swapped from Chain 1
237	-4401.5081	Reject
238	-4401.5081	Reject
239	-4401.4533	Swapped from Chain 1
239	-4401.4533	Reject
240	-4401.4533	Reject
241	-4402.5773	Swapped from Chain 1
241	-4402.5773	Reject
242	-4402.5773	Reject
243	-4401.4463	Swapped from Chain 1
243	-4401.4463	Reject
244	-4401.4463	Reject
245	-4401.7233	Swapped from Chain 1
245	-4401.7233	Reject
246	-4401.7233	Reject
247	-4401.7222	Swapped from Chain 1
247	-4401.7222	Reject
248	-4401.7222	Reject
249	-4402.5500	Swapped from Chain 1
249	-4402.5500	Reject
250	-4402.5500	Reject
251	-4401.5432	Swapped from Chain 1
251	-4401.5432	Reject
252	-4401.5432	Reject
253	-4401.5759	Swapped from Chain 1
253	-4401.5759	Reject
254	-4401.5759	Reject
255	-4401.6270	Swapped from Chain 1
255	-4401.6270	Reject
256	-4401.6270	Reject
257	-4401.4501	Swapped from Chain 1
257	-4401.4501	Reject
258	-4401.4501	Reject
259	-4401.4581	Swapped from Chain 1
259	-4401.4581	Reject
260	-4401.4581	Reject
261	-4402.7609	Swapped from Chain 1
261	-4402.7609	Reject
262	-4402.7609	Reject
263	-4401.5098	Swapped from Chain 1
263	-4401.5098	Reject
264	-4401.5098	Reject
265	-4401.5432	Swapped from Chain 1
265	-4401.5432	Reject
266	-4401.5432	Reject
267	-4402.5500	Swapped from Chain 1
267	-4402.5500	Reject
268	-4402.5500	Reject
269	-4402.7495	Swapped from Chain 1
269	-4402.7495	Reject
270	-4402.7495	Reject
271	-4401.4463	Swapped from Chain 1
271	-4401.4463	Reject
272	-4401.4463	Reject
273	-4401.5081	Swapped from Chain 1
273	-4401.5081	Reject
274	-4401.5081	Reject
275	-4401.6461	Swapped from Chain 1
275	-4401.6461	Reject
276	-4401.6461	Reject
277	-4401.7233	Swapped from Chain 1
277	-4401.7233	Reject
278	-4401.7233	Reject
279	-4402.7286	Swapped from Chain 1
279	-4402.7286	Reject
280	-4402.7286	Reject
281	-4401.4508	Swapped from Chain 1
281	-4401.4508	Reject
282	-4401.4508	Reject
283	-4402.5773	Swapped from Chain 1
283	-4402.5773	Reject
284	-4402.5773	Reject
285	-4401.5759	Swapped from Chain 1
285	-4401.5759	Reject
286	-4401.5759	Reject
287	-4402.7665	Swapped from Chain 1
287	-4402.7665	Reject
288	-4402.7665	Reject
289	-4401.4501	Swapped from Chain 1
289	-4401.4501	Reject
290	-4401.4501	Reject
291	-4401.6270	Swapped from Chain 1
291	-4401.6270	Reject
292	-4401.6270	Reject
293	-4401.5432	Swapped from Chain 1
293	-4401.5432	Reject
294	-4401.5432	Reject
295	-4401.4581	Swapped from Chain 1
295	-4401.4581	Reject
296	-4401.4581	Reject
297	-4402.5430	Swapped from Chain 1
297	-4402.5430	Reject
298	-4402.5430	Reject
299	-4402.7609	Swapped from Chain 1
299	-4402.7609	Reject
300	-4402.7609	Reject
301	-4401.5098	Swapped from Chain 1
301	-4401.5098	Reject
302	-4401.5098	Reject
